Ano;IdUrg;URG;Escola;DtInicio;DtFechamento;QtdAlunoEscola;QtdAluno;QtdProfessor;QtdPsicologo;QtdAssistSocial;QtdEnfermagem;QtdMedico;QtdVacinacao;QtdVacina;QtdEncaminhamento;QtdExame
2024;6;URG VI-AUSTIN;EMEI OLGA CELESTINA GILIBERTI ALMEIDA;29/05/2024;29/05/2024;161;115;103;95;99;107;99;63;101;26;35
2024;6;URG VI-AUSTIN;EMEI VILA SAO MIGUEL;03/06/2024;03/06/2024;78;63;62;51;63;63;48;36;66;28;31
2024;7;URG VII-VILA DE CAVA;CENTRO COMUNITÁRIO SÃO SEBASTIÃO DE VILA DE CAVA CECOM;18/04/2024;18/04/2024;116;64;53;54;59;56;28;14;20;2;5
2024;7;URG VII-VILA DE CAVA;CENTRO COMUNITÁRIO SÃO SEBASTIÃO DE VILA DE CAVA CECOM FÉ E ESPERANÇA;26/04/2024;26/04/2024;152;87;54;69;75;61;47;17;26;18;15
2024;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. DENISE FERNANDES DA SILVA PAULINO;15/05/2024;15/05/2024;40;28;27;22;24;26;28;5;7;7;8
2024;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. LUCIANA COSTA MARTINS;10/04/2024;10/04/2024;79;61;59;60;54;59;43;40;62;18;25
2024;7;URG VII-VILA DE CAVA;E M ADRIANOPOLIS;06/12/2024;06/12/2024;93;62;60;0;58;62;15;10;16;5;5
2024;7;URG VII-VILA DE CAVA;E M AMERICA XAVIER DA SILVEIRA;24/04/2024;25/04/2024;590;498;439;447;454;430;171;97;129;32;32
2024;7;URG VII-VILA DE CAVA;E M AMINTHAS PEREIRA;12/04/2024;19/04/2024;310;285;265;258;260;255;212;57;70;40;39
2024;7;URG VII-VILA DE CAVA;E M BARAO DO GUANDU;03/12/2024;03/12/2024;163;85;82;4;76;83;30;17;20;0;7
2024;7;URG VII-VILA DE CAVA;E M DR JUVENIL DE SOUZA LOPES;17/04/2024;17/04/2024;214;214;213;138;152;138;62;47;64;21;27
2024;7;URG VII-VILA DE CAVA;E M JOSÉ PACIFICO;09/04/2024;10/04/2024;629;553;441;450;442;470;266;131;165;97;90
2024;7;URG VII-VILA DE CAVA;E M MARCILIO DIAS;18/04/2024;26/04/2024;715;495;122;428;418;460;200;101;144;38;49
2024;7;URG VII-VILA DE CAVA;E M ORESTES BERNARDO CABRAL;15/04/2024;17/04/2024;971;652;375;463;453;573;327;99;121;99;110
2024;7;URG VII-VILA DE CAVA;E M PROF IRENE DA SILVA OLIVEIRA;12/04/2024;15/04/2024;876;518;383;341;375;397;108;61;81;43;44
2024;7;URG VII-VILA DE CAVA;E M PROF LUCIA HELENA DE LIMA;11/04/2024;16/04/2024;475;441;417;381;374;372;170;99;129;47;43
2024;7;URG VII-VILA DE CAVA;EMEI GLAUCO JOSE VAZ GONCALVES;09/04/2024;09/04/2024;106;86;65;77;75;81;68;52;71;27;25
2024;8;URG VIII-MIGUEL COUTO;E M ANTONIO PINHEIRO GUIMARAES VICTORY;21/03/2024;27/03/2024;367;309;96;280;265;296;112;46;51;24;32
2024;8;URG VIII-MIGUEL COUTO;E M AYRTON SENNA;25/03/2024;26/03/2024;593;478;174;421;389;403;144;71;78;29;52
2024;8;URG VIII-MIGUEL COUTO;E M FLOR DE LIS;01/04/2024;02/04/2024;411;322;177;272;253;299;164;103;145;57;67
2024;8;URG VIII-MIGUEL COUTO;E M JANIR CLEMENTINO PEREIRA;18/03/2024;21/03/2024;998;930;711;629;689;666;169;97;155;57;42
2024;8;URG VIII-MIGUEL COUTO;E M PAULO ROBERTO FIORENZANO ARAUJO;21/03/2024;09/04/2024;454;350;0;296;290;299;76;33;46;14;18
2024;8;URG VIII-MIGUEL COUTO;E M PROF ANNA MARIA RAMALHO;18/03/2024;19/03/2024;624;504;399;370;365;412;243;78;85;66;112
2024;8;URG VIII-MIGUEL COUTO;E M PROF DARCY RIBEIRO;25/03/2024;27/03/2024;679;424;215;374;369;380;99;43;60;43;39
2024;8;URG VIII-MIGUEL COUTO;E M PROF HAULER DA SILVA FERREIRA;03/04/2024;05/04/2024;617;580;559;458;489;496;228;113;144;76;47
2024;8;URG VIII-MIGUEL COUTO;E M PROF RUY AFRANIO PEIXOTO;01/04/2024;02/04/2024;742;624;365;519;502;557;173;118;153;54;79
2024;8;URG VIII-MIGUEL COUTO;E M SAO MIGUEL ARCANJO;03/04/2024;05/04/2024;286;253;245;232;224;234;114;74;94;26;43
2024;8;URG VIII-MIGUEL COUTO;EMEI AMBAI;05/04/2024;05/04/2024;91;85;83;55;54;57;51;36;44;0;0
2024;8;URG VIII-MIGUEL COUTO;EMEI CASA DA CRIANCA DE MIGUEL COUTO;20/03/2024;20/03/2024;87;63;0;52;53;60;55;24;38;9;18
2024;8;URG VIII-MIGUEL COUTO;GRUPO AÇÃO COMUNITÁRIO CORAÇÃO DE MÃE;08/04/2024;09/04/2024;80;47;45;40;41;44;41;20;28;8;12
2024;9;URG IX-TINGUA;E M BARAO DE TINGUA;04/12/2024;05/12/2024;407;289;267;132;236;241;43;20;27;12;11
2024;9;URG IX-TINGUA;E M DE JACERUBA;04/12/2024;05/12/2024;158;126;102;0;116;116;7;7;10;6;5
2024;9;URG IX-TINGUA;E M JARDIM MONTEVIDEO;05/12/2024;05/12/2024;135;53;39;3;40;46;37;31;47;9;3
2024;9;URG IX-TINGUA;E M PROF LUCIA VIANA CAPELLI;02/12/2024;03/12/2024;278;243;229;66;214;209;45;23;29;50;32
2024;9;URG IX-TINGUA;E M PROF THEREZINHA DE JESUS ARAUJO HERMIDA;06/11/2024;08/11/2024;275;222;204;7;195;210;77;65;87;33;26
2024;9;URG IX-TINGUA;E M VALE DO TINGUA;14/11/2024;14/11/2024;200;136;125;125;117;122;2;0;0;0;0
2024;9;URG IX-TINGUA;EMEI TERRA DE MARAMBAIA;14/11/2024;14/11/2024;62;29;19;0;19;28;27;10;11;8;16
2025;1;URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;02/07/2025;02/07/2025;50;48;48;9;38;37;38;19;31;25;13
2025;1;URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;03/10/2025;06/10/2025;145;89;70;0;68;69;32;8;10;47;15
2025;1;URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;03/07/2025;03/07/2025;54;41;40;19;23;24;22;11;14;5;4
2025;1;URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;04/09/2025;04/09/2025;74;59;55;1;42;45;46;28;37;5;6
2025;1;URG I-CENTRO;E M CAPISTRANO DE ABREU;28/08/2025;29/08/2025;297;254;241;33;207;226;69;43;50;3;8
2025;1;URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;24/09/2025;24/09/2025;154;145;143;0;107;114;74;48;65;72;52
2025;1;URG I-CENTRO;E M DR RUBENS FALCAO;29/09/2025;30/09/2025;423;399;393;15;317;331;171;92;127;122;76
2025;1;URG I-CENTRO;E M DR THIBAU;29/09/2025;29/09/2025;159;129;109;56;93;102;55;29;36;30;18
2025;1;URG I-CENTRO;E M ENGENHO PEQUENO;11/09/2025;12/09/2025;335;332;325;8;206;213;121;65;78;100;86
2025;1;URG I-CENTRO;E M FRANCA CARVALHO;03/10/2025;06/10/2025;475;430;393;120;314;322;94;74;96;58;38
2025;1;URG I-CENTRO;E M HEITOR DANTAS;19/09/2025;19/09/2025;230;160;156;128;148;155;72;48;65;41;28
2025;1;URG I-CENTRO;E M JANICI FERREIRA MAIA ;15/09/2025;16/09/2025;321;261;248;72;206;212;104;58;75;64;37
2025;1;URG I-CENTRO;E M JULIO RABELLO GUIMARAES;01/09/2025;03/09/2025;584;497;466;128;428;454;174;106;152;132;61
2025;1;URG I-CENTRO;E M MANOEL JOAO GONCALVES;18/09/2025;18/09/2025;211;170;164;0;147;150;80;57;78;23;13
2025;1;URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;30/10/2025;30/10/2025;425;362;338;248;285;288;167;68;96;86;77
2025;1;URG I-CENTRO;E M MENINOS DE DEUS;07/10/2025;09/10/2025;310;273;268;57;173;188;65;34;43;29;17
2025;1;URG I-CENTRO;E M MONTEIRO LOBATO;15/09/2025;22/09/2025;1005;945;882;390;688;681;180;94;125;155;84
2025;1;URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;22/09/2025;23/09/2025;411;305;290;151;271;282;121;77;110;56;43
2025;1;URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;10/09/2025;12/09/2025;654;576;489;313;444;477;161;114;147;86;66
2025;1;URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;01/10/2025;02/10/2025;283;241;231;196;206;212;90;50;67;76;54
2025;1;URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;17/09/2025;17/09/2025;175;155;150;38;134;142;51;32;43;47;36
2025;1;URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;25/09/2025;25/09/2025;146;125;115;82;81;84;34;21;28;26;5
2025;1;URG I-CENTRO;E M PROF OSIRES NEVES;22/09/2025;23/09/2025;639;536;517;1;425;436;116;59;80;90;72
2025;1;URG I-CENTRO;E M PROF PAULO FREIRE;01/10/2025;01/10/2025;155;147;146;0;119;119;51;30;37;40;18
2025;1;URG I-CENTRO;E M PROF RUY DE QUEIROZ;26/09/2025;26/09/2025;201;200;198;100;142;146;55;33;39;29;17
2025;1;URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;26/09/2025;26/09/2025;88;39;36;13;36;38;37;21;35;27;9
2025;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;02/10/2025;03/10/2025;97;68;68;54;57;56;58;29;43;34;18
2025;1;URG I-CENTRO;EMEI SAO BENEDITO;30/09/2025;30/09/2025;169;90;81;12;56;69;68;44;70;50;34
2025;1;URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;14/11/2025;14/11/2025;255;217;211;0;190;192;56;12;20;24;9
2025;2;URG II-POSSE;AVICRES ASSOCIAÇÃO VIDA NO CRESCIMENTO E NA SOLIDARIEDADE;09/04/2025;09/04/2025;67;50;45;0;50;32;15;4;6;3;6
2025;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;27/10/2025;28/10/2025;283;223;205;53;170;184;110;62;86;65;26
2025;2;URG II-POSSE;CIEP BRIZOLAO 099 DR BOLIVARD GOMES DE ASSUMPCAO;21/10/2025;22/10/2025;592;556;520;81;412;447;75;66;89;60;45
2025;2;URG II-POSSE;CRECHE EDUNCANDÁRIO SÃO LÁZARO - AELO;04/04/2025;14/04/2025;201;93;66;0;70;82;48;18;23;19;17
2025;2;URG II-POSSE;CRECHE MUNICIPAL PROF ANA CLÁUDIA MARTINS DE SOUZA;13/10/2025;13/10/2025;98;68;67;0;46;53;50;8;17;16;17
2025;2;URG II-POSSE;E M DOUGLAS BRASIL;14/10/2025;17/10/2025;873;770;743;234;580;568;209;131;197;167;141
2025;2;URG II-POSSE;E M DR ORLANDO MELLO;09/10/2025;13/10/2025;768;616;584;71;473;491;171;106;146;121;83
2025;2;URG II-POSSE;E M ESTANISLAU RIBEIRO DO AMARAL;27/10/2025;28/10/2025;482;392;356;61;311;291;69;35;53;63;27
2025;2;URG II-POSSE;E M GUINLE;14/10/2025;14/10/2025;197;136;128;68;127;131;64;52;67;23;21
2025;2;URG II-POSSE;E M HERBERT MOSES;22/10/2025;23/10/2025;344;299;287;0;219;223;91;63;84;75;49
2025;2;URG II-POSSE;E M LUIZ DE LEMOS;07/10/2025;08/10/2025;491;449;429;266;352;354;121;78;105;91;66
2025;2;URG II-POSSE;E M MARIA ELIONDAS DOS SANTOS;21/10/2025;11/11/2025;136;71;64;57;62;60;38;13;20;47;21
2025;2;URG II-POSSE;E M PRESIDENTE GETULIO DORNELLES VARGAS;09/10/2025;10/10/2025;292;225;218;75;156;162;69;40;51;40;39
2025;2;URG II-POSSE;E M PROF CLAUDIA MARIA SALLES MONTEIRO DA SILVA;29/10/2025;29/10/2025;177;121;112;70;81;84;69;33;46;51;46
2025;2;URG II-POSSE;E M PROF THEREZINHA DA SILVA XAVIER;24/10/2025;24/10/2025;294;215;209;170;192;189;68;47;65;48;40
2025;2;URG II-POSSE;E M SAO BENEDITO;12/11/2025;13/11/2025;445;407;392;285;355;364;231;96;125;156;105
2025;2;URG II-POSSE;E M TABELIÃO MURILO COSTA;23/10/2025;24/10/2025;471;402;381;164;305;317;207;102;153;140;106
2025;2;URG II-POSSE;E M VEREADOR HELCIO CHAMBARELLI;16/10/2025;17/10/2025;352;298;284;176;243;245;76;30;38;49;26
2025;2;URG II-POSSE;E M VIRGILIO DE MELO FRANCO;20/10/2025;20/10/2025;267;256;252;12;174;178;95;54;78;46;37
2025;2;URG II-POSSE;EMEI JOSE VIEIRA JESUS;20/10/2025;23/10/2025;89;86;86;11;15;15;16;8;13;13;8
2025;3;URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;14/03/2025;16/04/2025;589;548;450;57;458;419;167;38;44;86;52
2025;3;URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;08/04/2025;08/04/2025;77;39;37;0;35;38;31;18;24;17;14
2025;3;URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;16/05/2025;16/05/2025;211;135;106;0;81;118;110;58;88;21;25
2025;3;URG III-COMENDADOR SOARES;E M ARMANDO PIRES;10/04/2025;11/04/2025;521;426;386;97;350;377;201;48;58;72;41
2025;3;URG III-COMENDADOR SOARES;E M COMPACTOR;14/03/2025;15/04/2025;267;230;208;133;198;215;153;63;85;64;32
2025;3;URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;24/04/2025;25/04/2025;443;287;237;21;236;253;154;47;53;59;52
2025;3;URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;28/04/2025;30/04/2025;460;379;334;189;309;343;205;83;102;84;69
2025;3;URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;24/04/2025;28/04/2025;592;407;305;68;321;336;183;60;79;32;40
2025;3;URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;10/04/2025;11/04/2025;411;345;258;84;285;301;180;58;70;40;50
2025;3;URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;05/05/2025;06/05/2025;391;345;324;207;292;302;129;57;69;67;32
2025;3;URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;28/04/2025;30/04/2025;905;742;567;25;631;668;224;67;85;101;70
