URG;Escola;Consulta;2022;2023;2024;2025;Total
URG I-CENTRO;E M CAPISTRANO DE ABREU;NUTRIÇÃO;0;0;0;1;1
URG I-CENTRO;E M CAPISTRANO DE ABREU;DENTISTA;0;17;10;1;28
URG I-CENTRO;E M CAPISTRANO DE ABREU;FONOAUDIÓLOGA;0;6;3;0;9
URG I-CENTRO;E M CAPISTRANO DE ABREU;GASTROENTEROLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;PNEUMOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;TERAPIA OCUPACIONAL;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;DERMATOLOGISTA;0;0;0;5;5
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;PEDIATRA;0;0;0;1;1
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ALERGISTA;0;0;0;3;3
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ORTOPEDISTA;0;0;0;3;3
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;OFTALMOLOGISTA;0;0;1;10;11
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;NEUROLOGISTA;0;2;1;4;7
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;CIRURGIÃO;0;0;1;2;3
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;PSICOLOGIA;0;2;2;9;13
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;OTORRINOLARINGOLOGISTA;0;0;1;2;3
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;CARDIOLOGISTA;0;2;0;0;2
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;UROLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;PROCTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;GINECOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;HEMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ANGIOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ONCOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ENDOCRINOLOGISTA;0;0;0;5;5
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;PSIQUIATRA;0;0;0;2;2
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;INFECTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;NUTRIÇÃO;0;1;1;7;9
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;DENTISTA;0;0;1;11;12
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;FONOAUDIÓLOGA;0;0;0;6;6
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;GASTROENTEROLOGISTA;0;0;1;2;3
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;PNEUMOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;TERAPIA OCUPACIONAL;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;DERMATOLOGISTA;0;3;0;6;9
URG I-CENTRO;E M DR RUBENS FALCAO;PEDIATRA;0;2;0;1;3
URG I-CENTRO;E M DR RUBENS FALCAO;ALERGISTA;0;5;0;9;14
URG I-CENTRO;E M DR RUBENS FALCAO;ORTOPEDISTA;0;0;0;2;2
URG I-CENTRO;E M DR RUBENS FALCAO;OFTALMOLOGISTA;0;4;0;11;15
URG I-CENTRO;E M DR RUBENS FALCAO;NEUROLOGISTA;0;6;0;8;14
URG I-CENTRO;E M DR RUBENS FALCAO;CIRURGIÃO;0;0;0;2;2
URG I-CENTRO;E M DR RUBENS FALCAO;PSICOLOGIA;0;19;0;29;48
URG I-CENTRO;E M DR RUBENS FALCAO;OTORRINOLARINGOLOGISTA;0;5;0;4;9
URG I-CENTRO;E M DR RUBENS FALCAO;CARDIOLOGISTA;0;0;0;1;1
URG I-CENTRO;E M DR RUBENS FALCAO;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;UROLOGISTA;0;1;0;1;2
URG I-CENTRO;E M DR RUBENS FALCAO;PROCTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;GINECOLOGISTA;0;2;0;0;2
URG I-CENTRO;E M DR RUBENS FALCAO;HEMATOLOGISTA;0;0;0;1;1
URG I-CENTRO;E M DR RUBENS FALCAO;ANGIOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;ONCOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;ENDOCRINOLOGISTA;0;1;0;3;4
URG I-CENTRO;E M DR RUBENS FALCAO;PSIQUIATRA;0;1;0;1;2
URG I-CENTRO;E M DR RUBENS FALCAO;INFECTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;NUTRIÇÃO;0;5;0;5;10
URG I-CENTRO;E M DR RUBENS FALCAO;DENTISTA;0;17;0;29;46
URG I-CENTRO;E M DR RUBENS FALCAO;FONOAUDIÓLOGA;0;4;0;6;10
URG I-CENTRO;E M DR RUBENS FALCAO;GASTROENTEROLOGISTA;0;1;0;1;2
URG I-CENTRO;E M DR RUBENS FALCAO;PNEUMOLOGISTA;0;0;0;2;2
URG I-CENTRO;E M DR RUBENS FALCAO;TERAPIA OCUPACIONAL;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;DERMATOLOGISTA;0;0;1;1;2
URG I-CENTRO;E M DR THIBAU;PEDIATRA;0;0;0;1;1
URG I-CENTRO;E M DR THIBAU;ALERGISTA;0;0;1;0;1
URG I-CENTRO;E M DR THIBAU;ORTOPEDISTA;0;0;0;1;1
URG I-CENTRO;E M DR THIBAU;OFTALMOLOGISTA;0;1;1;3;5
URG I-CENTRO;E M DR THIBAU;NEUROLOGISTA;0;0;3;1;4
URG I-CENTRO;E M DR THIBAU;CIRURGIÃO;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;PSICOLOGIA;0;2;2;3;7
URG I-CENTRO;E M DR THIBAU;OTORRINOLARINGOLOGISTA;0;0;1;1;2
URG I-CENTRO;E M DR THIBAU;CARDIOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;UROLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;PROCTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;GINECOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;HEMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;ANGIOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;ONCOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;ENDOCRINOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;PSIQUIATRA;0;0;0;1;1
URG I-CENTRO;E M DR THIBAU;INFECTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;NUTRIÇÃO;0;0;1;0;1
URG I-CENTRO;E M DR THIBAU;DENTISTA;0;0;1;15;16
URG I-CENTRO;E M DR THIBAU;FONOAUDIÓLOGA;0;1;0;2;3
URG I-CENTRO;E M DR THIBAU;GASTROENTEROLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;PNEUMOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;TERAPIA OCUPACIONAL;0;0;0;1;1
URG I-CENTRO;E M ENGENHO PEQUENO;DERMATOLOGISTA;0;2;1;6;9
URG I-CENTRO;E M ENGENHO PEQUENO;PEDIATRA;0;1;0;1;2
URG I-CENTRO;E M ENGENHO PEQUENO;ALERGISTA;0;4;1;9;14
URG I-CENTRO;E M ENGENHO PEQUENO;ORTOPEDISTA;0;0;1;0;1
URG I-CENTRO;E M ENGENHO PEQUENO;OFTALMOLOGISTA;0;2;4;8;14
URG I-CENTRO;E M ENGENHO PEQUENO;NEUROLOGISTA;0;0;4;12;16
URG I-CENTRO;E M ENGENHO PEQUENO;CIRURGIÃO;0;0;0;1;1
URG I-CENTRO;E M ENGENHO PEQUENO;PSICOLOGIA;0;7;6;14;27
URG I-CENTRO;E M ENGENHO PEQUENO;OTORRINOLARINGOLOGISTA;0;2;1;2;5
URG I-CENTRO;E M ENGENHO PEQUENO;CARDIOLOGISTA;0;0;0;1;1
URG I-CENTRO;E M ENGENHO PEQUENO;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;UROLOGISTA;0;1;0;2;3
URG I-CENTRO;E M ENGENHO PEQUENO;PROCTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;GINECOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;HEMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;ANGIOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;ONCOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;ENDOCRINOLOGISTA;0;0;1;0;1
URG I-CENTRO;E M ENGENHO PEQUENO;PSIQUIATRA;0;0;1;1;2
URG I-CENTRO;E M ENGENHO PEQUENO;INFECTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;NUTRIÇÃO;0;3;4;2;9
URG I-CENTRO;E M ENGENHO PEQUENO;DENTISTA;0;1;6;27;34
URG I-CENTRO;E M ENGENHO PEQUENO;FONOAUDIÓLOGA;0;8;2;11;21
URG I-CENTRO;E M ENGENHO PEQUENO;GASTROENTEROLOGISTA;0;0;0;1;1
URG I-CENTRO;E M ENGENHO PEQUENO;PNEUMOLOGISTA;0;0;0;1;1
URG I-CENTRO;E M ENGENHO PEQUENO;TERAPIA OCUPACIONAL;0;0;1;1;2
URG I-CENTRO;E M FRANCA CARVALHO;DERMATOLOGISTA;0;3;1;2;6
URG I-CENTRO;E M FRANCA CARVALHO;PEDIATRA;0;2;1;2;5
URG I-CENTRO;E M FRANCA CARVALHO;ALERGISTA;0;12;2;4;18
URG I-CENTRO;E M FRANCA CARVALHO;ORTOPEDISTA;0;3;0;0;3
URG I-CENTRO;E M FRANCA CARVALHO;OFTALMOLOGISTA;0;1;0;7;8
URG I-CENTRO;E M FRANCA CARVALHO;NEUROLOGISTA;0;0;2;7;9
URG I-CENTRO;E M FRANCA CARVALHO;CIRURGIÃO;0;1;2;0;3
URG I-CENTRO;E M FRANCA CARVALHO;PSICOLOGIA;0;5;5;8;18
URG I-CENTRO;E M FRANCA CARVALHO;OTORRINOLARINGOLOGISTA;0;2;0;4;6
URG I-CENTRO;E M FRANCA CARVALHO;CARDIOLOGISTA;0;0;0;1;1
URG I-CENTRO;E M FRANCA CARVALHO;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;UROLOGISTA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;PROCTOLOGISTA;0;0;0;1;1
URG I-CENTRO;E M FRANCA CARVALHO;GINECOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;HEMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;ANGIOLOGISTA;0;0;0;1;1
URG I-CENTRO;E M FRANCA CARVALHO;ONCOLOGISTA;0;0;1;0;1
URG I-CENTRO;E M FRANCA CARVALHO;ENDOCRINOLOGISTA;0;1;0;0;1
URG I-CENTRO;E M FRANCA CARVALHO;PSIQUIATRA;0;0;1;1;2
URG I-CENTRO;E M FRANCA CARVALHO;INFECTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;NUTRIÇÃO;0;2;1;1;4
URG I-CENTRO;E M FRANCA CARVALHO;DENTISTA;0;12;3;16;31
URG I-CENTRO;E M FRANCA CARVALHO;FONOAUDIÓLOGA;0;2;1;1;4
URG I-CENTRO;E M FRANCA CARVALHO;GASTROENTEROLOGISTA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;PNEUMOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;TERAPIA OCUPACIONAL;0;0;0;2;2
URG I-CENTRO;E M HEITOR DANTAS;DERMATOLOGISTA;0;1;1;1;3
URG I-CENTRO;E M HEITOR DANTAS;PEDIATRA;0;2;0;0;2
