URG;Escola;Exame;2022;2023;2024;2025;Total
URG I-CENTRO;E M JANICI FERREIRA MAIA ;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ELETROCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;RAIO X;0;0;0;0;0
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;EXAME LABORATORIAL;0;26;34;60;120
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ULTRASSOM;0;0;0;0;0
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ELETROCARDIOGRAMA;0;0;1;0;1
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ECOCARDIOGRAMA;0;0;0;1;1
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;RAIO X;0;0;0;0;0
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M MANOEL JOAO GONCALVES;EXAME LABORATORIAL;0;28;28;12;68
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ULTRASSOM;0;0;1;0;1
URG I-CENTRO;E M MANOEL JOAO GONCALVES;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M MANOEL JOAO GONCALVES;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M MANOEL JOAO GONCALVES;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M MANOEL JOAO GONCALVES;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ELETROCARDIOGRAMA;0;0;0;1;1
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M MANOEL JOAO GONCALVES;RAIO X;0;0;0;0;0
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;EXAME LABORATORIAL;0;62;43;75;180
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ULTRASSOM;0;0;1;1;2
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;TOMOGRAFIA;0;1;1;0;2
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ELETROCARDIOGRAMA;0;0;2;0;2
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ECOCARDIOGRAMA;0;0;0;1;1
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;RAIO X;0;1;1;0;2
URG I-CENTRO;E M MENINOS DE DEUS;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M MENINOS DE DEUS;EXAME LABORATORIAL;0;12;24;15;51
URG I-CENTRO;E M MENINOS DE DEUS;ULTRASSOM;0;0;0;0;0
URG I-CENTRO;E M MENINOS DE DEUS;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M MENINOS DE DEUS;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M MENINOS DE DEUS;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M MENINOS DE DEUS;MAMOGRAFIA;0;0;1;0;1
URG I-CENTRO;E M MENINOS DE DEUS;ELETROCARDIOGRAMA;0;0;0;2;2
URG I-CENTRO;E M MENINOS DE DEUS;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M MENINOS DE DEUS;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M MENINOS DE DEUS;RAIO X;0;0;0;0;0
URG I-CENTRO;E M MONTEIRO LOBATO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M MONTEIRO LOBATO;EXAME LABORATORIAL;0;62;26;79;167
URG I-CENTRO;E M MONTEIRO LOBATO;ULTRASSOM;0;0;0;2;2
URG I-CENTRO;E M MONTEIRO LOBATO;TOMOGRAFIA;0;0;0;1;1
URG I-CENTRO;E M MONTEIRO LOBATO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M MONTEIRO LOBATO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M MONTEIRO LOBATO;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M MONTEIRO LOBATO;ELETROCARDIOGRAMA;0;1;3;2;6
URG I-CENTRO;E M MONTEIRO LOBATO;ECOCARDIOGRAMA;0;1;1;0;2
URG I-CENTRO;E M MONTEIRO LOBATO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M MONTEIRO LOBATO;RAIO X;0;1;0;0;1
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;EXAME LABORATORIAL;0;35;41;38;114
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ULTRASSOM;0;0;2;3;5
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ELETROCARDIOGRAMA;0;0;1;0;1
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;RAIO X;0;0;0;2;2
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ENDOSCOPIA;0;0;0;1;1
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;EXAME LABORATORIAL;0;47;46;63;156
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ULTRASSOM;0;2;0;1;3
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ELETROCARDIOGRAMA;0;1;0;1;2
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ECOCARDIOGRAMA;0;2;0;0;2
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;RAIO X;0;0;0;0;0
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;EXAME LABORATORIAL;0;15;17;53;85
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ULTRASSOM;0;0;1;0;1
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;TOMOGRAFIA;0;0;1;0;1
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;MAMOGRAFIA;0;0;1;0;1
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ELETROCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ECOCARDIOGRAMA;0;0;0;1;1
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;RAIO X;0;0;1;0;1
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;EXAME LABORATORIAL;0;0;14;33;47
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ULTRASSOM;0;0;0;2;2
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ELETROCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;RAIO X;0;0;0;1;1
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;EXAME LABORATORIAL;0;27;0;4;31
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ULTRASSOM;0;0;0;0;0
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ELETROCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ECOCARDIOGRAMA;0;0;0;1;1
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;RAIO X;0;0;0;0;0
URG I-CENTRO;E M PROF OSIRES NEVES;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M PROF OSIRES NEVES;EXAME LABORATORIAL;0;42;57;68;167
URG I-CENTRO;E M PROF OSIRES NEVES;ULTRASSOM;0;1;1;3;5
URG I-CENTRO;E M PROF OSIRES NEVES;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M PROF OSIRES NEVES;COLONOSCOPIA;0;0;0;0;0
