Ano;IdUrg;URG;Escola;Tipo;Nutricao;Qtd
2025;1;URG I-CENTRO;E M ENGENHO PEQUENO;EM;NORMAL (EUTROFIA);141
2025;1;URG I-CENTRO;E M ENGENHO PEQUENO;EM;OBESIDADE;25
2025;1;URG I-CENTRO;E M ENGENHO PEQUENO;EM;SOBREPESO;34
2025;1;URG I-CENTRO;E M FRANCA CARVALHO;EM;MAGREZA;12
2025;1;URG I-CENTRO;E M FRANCA CARVALHO;EM;MAGREZA ACENTUADA;5
2025;1;URG I-CENTRO;E M FRANCA CARVALHO;EM;NORMAL (EUTROFIA);222
2025;1;URG I-CENTRO;E M FRANCA CARVALHO;EM;OBESIDADE;43
2025;1;URG I-CENTRO;E M FRANCA CARVALHO;EM;SOBREPESO;40
2025;1;URG I-CENTRO;E M HEITOR DANTAS;EM;MAGREZA;5
2025;1;URG I-CENTRO;E M HEITOR DANTAS;EM;MAGREZA ACENTUADA;2
2025;1;URG I-CENTRO;E M HEITOR DANTAS;EM;NORMAL (EUTROFIA);106
2025;1;URG I-CENTRO;E M HEITOR DANTAS;EM;OBESIDADE;22
2025;1;URG I-CENTRO;E M HEITOR DANTAS;EM;SOBREPESO;20
2025;1;URG I-CENTRO;E M JANICI FERREIRA MAIA ;EM;MAGREZA;9
2025;1;URG I-CENTRO;E M JANICI FERREIRA MAIA ;EM;MAGREZA ACENTUADA;1
2025;1;URG I-CENTRO;E M JANICI FERREIRA MAIA ;EM;NORMAL (EUTROFIA);147
2025;1;URG I-CENTRO;E M JANICI FERREIRA MAIA ;EM;OBESIDADE;23
2025;1;URG I-CENTRO;E M JANICI FERREIRA MAIA ;EM;SOBREPESO;32
2025;1;URG I-CENTRO;E M JULIO RABELLO GUIMARAES;EM;MAGREZA;47
2025;1;URG I-CENTRO;E M JULIO RABELLO GUIMARAES;EM;MAGREZA ACENTUADA;6
2025;1;URG I-CENTRO;E M JULIO RABELLO GUIMARAES;EM;NORMAL (EUTROFIA);312
2025;1;URG I-CENTRO;E M JULIO RABELLO GUIMARAES;EM;OBESIDADE;36
2025;1;URG I-CENTRO;E M JULIO RABELLO GUIMARAES;EM;SOBREPESO;53
2025;1;URG I-CENTRO;E M MANOEL JOAO GONCALVES;EM;MAGREZA;12
